pid,period,date,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25
A1,baseline,2022-09-12,0,0,0,0,0,0,0,200,200,200,200,0,200,200,200,200,200,0,0,200,200,0,200,200
A1,baseline,2022-09-13,200,200,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200
A1,baseline,2022-09-14,0,0,0,0,0,0,0,200,200,200,200,200,200,0,200,200,200,200,200,200,200,0,200,200
A1,baseline,2022-09-15,200,0,200,200,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
A1,baseline,2022-09-16,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,0,200,0,200,200,200,0,200,200
A1,baseline,2022-09-17,200,200,0,0,0,200,200,200,200,200,0,200,200,200,0,200,200,200,200,200,200,200,200,200
A1,baseline,2022-09-18,0,0,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
A1,intervention,2022-09-28,0,0,0,0,0,0,0,600,800,600,200,400,600,200,200,200,400,400,400,400,200,400,200,200
A1,intervention,2022-09-29,200,200,200,0,0,0,0,200,200,200,200,800,200,400,400,200,800,600,200,200,400,200,400,400
A1,intervention,2022-09-30,200,0,0,0,0,0,0,400,200,600,400,600,800,600,200,400,400,400,200,400,200,400,600,600
A1,intervention,2022-10-01,200,200,200,200,200,200,0,400,400,400,200,200,800,400,400,200,200,200,200,600,400,400,400,200
A1,intervention,2022-10-02,200,200,0,0,0,0,0,200,400,400,200,800,200,400,400,400,600,200,400,200,200,400,200,400
A1,intervention,2022-10-03,200,200,0,0,0,0,0,400,800,200,200,200,800,200,800,200,400,200,200,600,200,400,400,400
A1,intervention,2022-10-04,200,0,0,0,0,0,0,200,800,200,200,200,200,800,200,400,800,200,200,200,400,400,200,200
A1,intervention,2022-10-05,200,200,0,0,0,0,0,200,200,200,200,200,200,200,200,800,200,200,400,600,400,400,200,400
A1,intervention,2022-10-06,200,200,200,0,0,0,0,800,200,200,800,800,800,800,200,800,400,400,400,400,400,400,200,200
A1,intervention,2022-10-07,200,200,200,0,0,0,0,200,800,400,200,200,200,200,200,200,400,200,400,400,400,200,200,200
A1,intervention,2022-10-08,0,0,0,0,0,0,200,400,200,800,200,200,800,200,200,200,200,800,800,800,800,200,200,200
A1,intervention,2022-10-09,200,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
A1,intervention,2022-10-10,200,0,200,200,0,0,200,200,200,200,600,200,200,200,400,200,200,400,400,400,200,400,400,400
A1,intervention,2022-10-11,200,200,200,200,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,400,200,200,400
A1,intervention,2022-10-12,200,200,200,0,0,0,0,200,200,200,800,200,200,200,200,200,200,200,200,200,200,400,200,400
A1,intervention,2022-10-13,200,200,200,200,200,200,0,200,200,200,200,600,200,200,200,200,400,400,200,200,200,200,600,400
A1,intervention,2022-10-14,200,200,200,200,200,0,0,200,200,200,200,200,600,200,200,200,400,400,200,200,400,400,200,200
A1,intervention,2022-10-15,200,200,200,200,200,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
A1,intervention,2022-10-16,0,0,0,0,0,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,400
A1,intervention,2022-10-17,200,200,200,200,0,0,0,200,200,800,200,800,200,200,200,200,200,200,200,200,400,600,400,600
A1,intervention,2022-10-18,200,200,200,0,0,0,0,200,200,200,200,200,200,200,200,800,200,200,200,200,800,400,200,200
A1,followup,2022-10-19,200,200,200,200,200,0,200,200,600,200,200,200,200,200,200,800,400,800,400,200,400,800,800,400
A1,followup,2022-10-20,0,200,200,0,0,0,0,200,200,200,400,400,200,600,200,200,600,400,800,200,400,800,800,800
A1,followup,2022-10-21,200,0,0,200,0,0,0,200,200,200,200,200,200,200,200,200,200,400,400,800,800,800,800,200
A1,followup,2022-10-22,200,200,200,200,200,200,200,800,200,200,800,800,200,400,600,800,800,800,800,200,200,200,200,600
A1,followup,2022-10-23,200,200,200,200,200,200,200,200,200,200,400,200,200,200,200,200,200,200,200,200,200,200,800,800
A1,followup,2022-10-24,200,200,0,0,0,0,200,400,400,400,200,200,400,200,200,200,200,800,800,800,800,400,400,200
A1,followup,2022-10-25,200,200,200,200,200,200,0,400,200,400,200,200,200,200,200,200,400,200,200,400,200,400,400,200
A2,baseline,2022-09-12,0,0,0,0,0,0,0,200,200,200,0,0,0,200,200,200,200,200,200,200,200,200,200,200
A2,baseline,2022-09-13,200,0,0,0,0,0,200,200,200,200,200,0,200,200,200,200,200,200,0,200,200,200,200,200
A2,baseline,2022-09-14,0,0,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
A2,baseline,2022-09-15,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,0,0
A2,baseline,2022-09-16,0,200,0,200,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
A2,baseline,2022-09-17,200,0,0,0,0,0,200,0,0,0,0,200,200,200,200,200,200,0,200,200,200,0,200,200
A2,baseline,2022-09-18,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
A2,intervention,2022-09-28,0,200,0,0,0,0,0,200,400,400,200,400,800,400,200,400,400,600,200,200,800,600,200,200
A2,intervention,2022-09-29,200,0,0,0,0,0,0,200,600,200,200,200,200,200,600,400,200,400,200,600,800,800,200,400
