pid,group,pre_SAS,post_SAS,pre_self_eff,post_self_eff,pre_imi_enjoyment,pre_imi_competence,pre_imi_effort,pre_imi_pressure,pre_imi_choice,pre_imi_value,post_imi_enjoyment,post_imi_competence,post_imi_effort,post_imi_pressure,post_imi_choice,post_imi_value,pre_sensitivity_overall,pre_sensitivity_change,pre_sensitivity_nonchange
A1,Adaptive,3.8,2.4,3.1,3.3,4.142857143,3,4,4.6,3.428571429,7,4.142857143,3.333333333,4,4,4.285714286,4.142857143,4.125,5,4
A2,Adaptive,3.1,2.7,4.2,4,3.857142857,4.666666667,2.8,4.2,4,6.142857143,2.428571429,3.666666667,3.6,2,3.142857143,3.857142857,3.875,2,4.142857143
A3,Adaptive,3.8,2.9,3.2,3.6,4,4.666666667,3.6,5.4,4.714285714,6,3.142857143,2.833333333,3.6,3,3.142857143,4,3.625,5,3.428571429
A4,Adaptive,2.7,3,3.4,3.1,4.714285714,4.5,5.2,4.8,4.285714286,5,3.857142857,4.333333333,4.4,3,3.714285714,3.714285714,3.875,5,3.714285714
A5,Adaptive,2.6,2.2,3.4,4,4.142857143,5,4.4,5,3.857142857,4,3.571428571,3.666666667,3.8,3.6,3.571428571,4.428571429,3.5,3,3.571428571
A6,Adaptive,3.3,1.5,4,3.9,5.857142857,3.666666667,4.2,5.2,4.285714286,5.428571429,2.285714286,3.166666667,2.8,2.8,2.428571429,3.857142857,2.375,2,2.428571429
A7,Adaptive,3.5,2.8,3.7,3.5,4.571428571,4.833333333,3,3.2,4,6.428571429,3.142857143,2.5,3.2,2.6,3.285714286,3.428571429,3.375,3,3.428571429
A8,Adaptive,2.7,2.2,4,4,6.285714286,3.833333333,3.6,4.2,4.285714286,6,4.285714286,4,4,3.8,4.142857143,4.714285714,3.625,4,3.571428571
A9,Adaptive,2.8,2.4,3.6,3.9,4.428571429,4.5,5,4.6,4.571428571,4.857142857,4.142857143,4.166666667,4.2,4.2,4.142857143,3.857142857,2.5,2,2.571428571
A10,Adaptive,3.3,2.6,2.6,3.1,3.714285714,3.333333333,5.6,6,4.857142857,5.142857143,3.285714286,3.5,3.8,3.6,3.857142857,4.571428571,3,2,3.142857143
A11,Adaptive,2.5,2.8,3.9,3.9,4.285714286,3.666666667,4,4,4.571428571,6.285714286,3.428571429,3.666666667,4,3.6,4,4.428571429,4.25,5,4.142857143
A12,Adaptive,4.5,2.4,3.7,4,4.428571429,3.666666667,3,4.4,3.857142857,6.857142857,3.285714286,3.5,3.8,3.4,4.142857143,4.571428571,3.75,5,3.571428571
A13,Adaptive,3.6,2.4,3,2.8,5.285714286,3.666666667,3.8,4.2,3.857142857,5.714285714,4.714285714,4.5,4.6,4.2,3.285714286,3.857142857,3.75,4,3.714285714
A14,Adaptive,4,2.7,3.8,3.8,3.285714286,5.166666667,3.4,3.4,5,6.142857143,2.714285714,2.666666667,3,3,3,4.142857143,4.5,5,4.428571429
A15,Adaptive,3.8,3.5,3.8,3.6,4.428571429,3.333333333,3.6,4.4,4.285714286,6.571428571,3.714285714,2.5,3.2,3.2,3.142857143,4.571428571,2.875,4,2.714285714
A16,Adaptive,3,3.1,3.4,3.4,5.285714286,4.833333333,4.6,3.4,4.571428571,5.857142857,2.857142857,2.666666667,3.2,3.2,3.142857143,4,2.25,2,2.285714286
A17,Adaptive,3.1,2.7,3.3,3.6,4.714285714,4,4,3.8,4.285714286,6.857142857,3.428571429,3.5,4,3.2,3.571428571,4,5,5,5
A18,Adaptive,2.9,2.6,3.2,3.2,4.571428571,4.666666667,3.4,4.8,5,6.428571429,2.428571429,3.666666667,3.2,2.8,2.428571429,4.571428571,4,4,4
A19,Adaptive,3.1,3.2,3,3.5,3.857142857,3.833333333,4.8,3.6,3.857142857,5.285714286,3.142857143,2.833333333,3.4,2.6,3.571428571,4,4,4,4
A20,Adaptive,3.1,2.7,4.8,4.8,4.571428571,4.166666667,4.8,3.2,4.571428571,6.428571429,4.428571429,4.5,4.6,4.4,4.571428571,4.714285714,3.625,3,3.714285714
A21,Adaptive,3.7,3.1,3.3,3.4,4.857142857,4.5,4.6,3.6,4,6.857142857,3,2.833333333,3.6,2.4,3.142857143,3.714285714,3.125,4,3
A22,Adaptive,2.4,1.5,4.2,4.3,4.428571429,4,4.2,3.4,3.714285714,6.714285714,3.714285714,4.5,4,2.8,3.714285714,4.714285714,3.875,3,4
A23,Adaptive,2.9,1.8,3.3,4.1,3.857142857,4.5,2.8,4.4,4,6.285714286,3,3.333333333,3.2,1.8,2.857142857,4.428571429,4.25,4,4.285714286
A24,Adaptive,4.1,3.3,3.1,3.4,4.571428571,2.666666667,4.2,4.8,4.428571429,6.571428571,2.857142857,2.833333333,3.4,2.6,3.142857143,4.285714286,4.25,5,4.142857143
A25,Adaptive,2.9,2.5,3.2,3.2,4.571428571,4,3.6,3.8,4.285714286,6.285714286,3,3.333333333,3,2.8,3,3.857142857,2.375,2,2.428571429
A26,Adaptive,3.1,4,3.4,4,5.285714286,5,3.2,2.4,3.285714286,7,3.714285714,3.166666667,3.2,2.8,3.428571429,5,3.5,5,3.285714286
A27,Adaptive,4.1,3.1,4,3.9,3.714285714,5,3.6,4,4.857142857,6.571428571,3.285714286,3.166666667,3.4,2.6,2.285714286,4.142857143,4.5,5,4.428571429
F1,Fixed,4.2,4.3,3,2.7,5.285714286,4,3.4,3,4.285714286,7,3.428571429,2.333333333,3.4,3,3.428571429,5,5,5,5
F2,Fixed,3.3,2.8,4.2,4.3,4.428571429,5,4.4,4,4.285714286,6.285714286,2.857142857,2.833333333,2.6,2.6,3,4,4.375,4,4.428571429
F3,Fixed,3.3,2.9,3.9,4.1,4.142857143,5,4.8,4.2,2.857142857,6.285714286,3.571428571,3.666666667,3.4,3,3.285714286,4.571428571,4,3,4.142857143
