pid,period,date,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25
A1,baseline,2022-09-12,318,596,0,0,0,0,51,863,2057,628,746,263,2185,2305,1287,1151,1328,136,0,1042,1424,372,1538,1778
A1,baseline,2022-09-13,1421,2737,0,0,0,0,71,0,0,846,1662,2296,3056,3159,2161,851,2860,2089,662,1666,806,508,1631,3325
A1,baseline,2022-09-14,272,0,0,0,0,0,149,654,2447,1828,1909,3140,1121,575,2148,1159,1806,1787,1886,790,933,396,1340,745
A1,baseline,2022-09-15,871,391,920,1405,0,0,0,0,68,1302,1051,1696,2178,2034,1143,1395,1290,1241,2412,1245,2874,2614,1529,3599
A1,baseline,2022-09-16,0,0,0,0,6,1812,1682,1816,2547,1793,2740,3599,1534,1069,853,586,1732,102,822,2500,3039,525,1392,883
A1,baseline,2022-09-17,953,2664,0,0,0,1430,1625,2991,3596,1488,547,1013,979,1007,535,3489,2413,2232,3599,3068,3355,3599,1645,2643
A1,baseline,2022-09-18,0,0,0,0,0,97,232,0,348,3255,1775,1560,1460,956,2561,1690,1256,1377,1545,1530,925,1205,3573,3469
A1,intervention,2022-09-28,310,0,0,0,0,0,0,0,406,553,571,592,546,596,145,556,592,121,0,561,114,487,570,309
A1,intervention,2022-09-29,2014,1248,1695,0,0,0,0,583,125,618,599,222,285,65,436,406,479,2051,1781,583,586,182,2042,1354
A1,intervention,2022-09-30,1295,276,0,0,0,7,11,52,2573,2472,881,2439,320,2077,1089,2603,530,100,1726,1486,716,391,1533,1548
A1,intervention,2022-10-01,2815,1724,3599,3595,1807,806,219,0,0,978,2458,2190,827,597,1194,1745,1331,252,0,0,1220,2376,1127,1197
A1,intervention,2022-10-02,1000,1609,0,0,0,0,102,428,0,347,2097,1579,368,1676,600,1013,1888,569,819,2125,1749,1347,3057,853
A1,intervention,2022-10-03,2918,732,0,0,0,0,314,1769,3180,2545,400,338,1496,2033,1440,2509,3320,3324,2169,0,2853,999,2419,614
A1,intervention,2022-10-04,1421,0,0,0,0,0,0,415,0,1397,1926,1915,262,358,290,1733,1059,752,2990,2992,2512,619,517,1578
A1,intervention,2022-10-05,2717,2238,0,0,0,0,0,84,1610,792,970,2339,1259,58,107,1020,1208,543,839,3041,1804,1225,3586,3587
A1,intervention,2022-10-06,3595,3598,3599,472,0,0,44,0,13,1234,1078,634,1098,513,463,2129,1397,224,325,523,579,3569,595,3590
A1,intervention,2022-10-07,2078,3596,3598,507,0,11,0,148,732,1768,2050,1522,1419,392,2107,947,1553,503,1148,707,1242,1784,0,159
A1,intervention,2022-10-08,139,0,0,0,0,144,2014,2956,2375,1744,0,6,799,513,3563,2883,1564,31,0,136,0,0,1238,3583
A1,intervention,2022-10-09,2335,0,0,0,0,0,0,0,337,179,36,0,0,101,125,0,1735,3294,3173,3342,319,509,373,529
A1,intervention,2022-10-10,830,167,2604,3349,0,8,603,3404,1358,1902,2431,2571,3597,930,1020,3590,3113,3212,3469,578,795,2993,1198,1240
A1,intervention,2022-10-11,1276,961,2202,3197,0,0,0,0,56,278,3240,3593,732,497,1847,299,2562,2930,1905,2209,3275,2609,3588,3221
A1,intervention,2022-10-12,2223,1021,836,0,0,0,311,302,1467,884,861,3519,3251,3371,2839,3221,2829,2228,2458,1038,1632,3440,1441,2653
A1,intervention,2022-10-13,3276,3242,3598,3599,3599,1745,0,0,0,2470,1813,2278,2901,573,31,355,2112,1086,250,45,1671,991,3076,2116
A1,intervention,2022-10-14,3599,809,2977,3538,1327,0,0,0,30,483,1440,2417,3054,1265,2174,2531,2830,1847,3297,2329,857,3214,1365,2430
A1,intervention,2022-10-15,2151,2359,716,3599,1982,0,0,0,0,0,0,1291,2125,798,1934,1550,1601,295,1585,2025,1249,1955,3423,1675
A1,intervention,2022-10-16,347,0,0,0,0,3200,563,0,0,17,103,2685,3599,2897,2727,3541,1994,2993,618,1413,2402,2159,3219,2288
A1,intervention,2022-10-17,1743,1015,3420,3597,230,13,5,0,9,383,2555,787,2233,807,224,2942,2503,2407,1980,1079,1862,2997,198,2797
A1,intervention,2022-10-18,3151,3598,1671,0,0,0,0,0,0,285,2093,3193,2213,373,688,3514,1312,0,0,1381,875,259,681,127
