pid,geo_hash,label
P02,wy6wf5f,Home
P02,wy6wfm8,Work
P02,wydkspg,Home
P02,wydksxc,Other
P02,wy6wf5g,Home
P02,wyd7fxj,Other
P02,wy6wfe6,Other
P02,wyd3mc7,Other
P02,wyd7fxw,Other
P02,wydkspf,Home
P02,wydksx2,Other
P02,wydksx9,Other
P03,wy6wfk8,Work
P03,wy6wf53,Home
P03,wyd7emk,Home
P03,wy6wfkb,Work
P03,wy6wfg4,Other
P03,wy6wfhx,Work
P03,wy6wfjv,Other
P04,wy6wfkp,Home
P04,wy6wfs0,Home
P04,wy6wfkc,Work
P04,wy6wfk9,Work
P04,wy6wfg6,Other
P04,wy6wfs3,Home
P04,wyd86cs,Other
P05,wy6wfhz,Work
P05,wy6x1bh,Home
P05,wy6wfkb,Work
P05,wy6r6ew,Other
P05,wy6wcg3,Other
P05,wy6x1bs,Home
P07,wy6wfhr,Work
P07,wy6wfk8,Work
P07,wydkks0,Home
P07,wy6wfh7,Other
P07,wydkkd4,Other
P07,wydkkkp,Home
P07,wydkkrk,Other
P07,wy6wcfg,Other
P07,wy6wfe1,Other
P07,wy6wfed,Other
P07,wy6wfhx,Work
P07,wydkkrm,Other
P07,wydkks1,Home
P07,wydm1x1,Other
P07,wydm719,Other
P08,wy6wfj7,Work
P08,wy7827d,Home
P08,wy6wfjk,Work
P08,wy6wfjs,Work
P08,wy6wfkm,Other
P08,wy7knu2,Home
P08,wy6wf5d,Other
P08,wy6wf9b,Other
P08,wy6wfh6,Other
P08,wy6wfje,Work
P08,wy6wfjf,Other
P08,wy782xh,Other
P08,wy782xt,Other
P09,wy6wfj7,Home
P09,wy6wfk9,Work
P09,wy6wfhy,Work
P09,wy6wfjv,Other
P09,wy6wfm0,Other
P09,wy6wfj6,Home
P09,wy6wgck,Other
P09,wy72w2g,Other
P10,wy6wfhj,Work
P10,wyd6s8u,Home
P10,wy6wcg3,Other
P10,wy6wfhq,Work
P10,wyd2zyw,Other
P11,wydk1ju,Home
P11,wydm0yv,Other
P11,wy782k8,Other
P11,wy782qe,Other
P11,wydk1bn,Other
P11,wydk1jv,Home
P11,wydk1nh,Home
P12,wydk1ju,Home
P12,wydk1br,Other
P12,wydk1jv,Home
P12,wydk1mb,Home
P13,wy6wcsc,Home
P13,wy6wcs9,Home
P13,wy6wfjs,Work
P13,wydm8t3,Other
P13,wy6wfjn,Work
P13,wy6wcs8,Home
P13,wy6wcsb,Home
P13,wy6wetk,Other
P13,wy6wey4,Other
P13,wydm9k9,Other
P16,wy6wfkj,Home
P16,wy7b1yv,Home
P16,wy6rxbv,Other
P16,wy5zb2k,Other
P16,wy6wc9y,Other
P16,wy6wf5f,Other
P16,wy6wfk6,Other
P16,wy6wfkh,Home
P16,wy6wfs0,Home
P16,wy6wfsp,Other
P17,wy6wfjx,Work
P17,wydks6u,Home
P17,wydks6v,Home
P17,wy6wfyn,Other
P17,wy7wbw1,Other
P17,wy6wey4,Other
P17,wy6x4bq,Other
P17,wydkswp,Other
P17,wydmdvc,Other
P17,wy6wfjz,Work
P17,wy6wfwq,Other
P17,wydks6s,Home
P17,wydksvc,Other
P17,wydksx0,Other
P17,wydmdy0,Other
P17,wydmk24,Other
P17,wydmkm1,Other
P17,wydmkm4,Other
P18,wy6wfjs,Work
P18,wy6wfjg,Home
P18,wy6um3c,Other
P18,wy6wfjw,Work
P18,wy6wf5e,Other
P18,wy6wfjm,Work
P18,wy6wfjq,Work
P18,wy77vnz,Other
P18,wy7kn38,Other
P19,wy6wfkb,Work
P19,wy6wfm0,Work
P19,wy6wfs0,Home
P19,wy7cuv5,Home
P19,wy6wc8n,Other
P19,wy6wf9c,Other
P19,wy7cuv7,Home
P20,wy6wfm9,Work
P20,wy6wfhg,Other
P20,wy6wfm1,Home
P20,wy6wfm4,Home
P20,wy6wfm3,Work
P20,wy6wf3b,Other
P20,wy6wfm8,Work
P21,wydhnx6,Home
P21,wydhnx7,Home
P21,wydhnxd,Home
P21,wydhnxf,Other
P21,wydhnxe,Home
P21,wydhnx4,Home
P22,wy6wfj7,Work
P22,wy6rxg3,Home
P22,wydm6gs,Other
P22,wy6rxg1,Home
P22,wy6mu6h,Other
P22,wy6rxg2,Home
