pid,type,subscale,item,response,time
P01,HS,,활동적 휴식은 내가 자주 하는 것이다.,2,POST
P01,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,2,POST
P01,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,2,POST
P01,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-2,POST
P01,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,-1,POST
P01,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-3,POST
P01,HS,,활동적 휴식은 내 일상의 일부이다.,1,POST
P01,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,2,POST
P01,HS,,활동적 휴식을 하지 않는 게 힘들다.,-3,POST
P01,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,3,POST
P01,HS,,활동적 휴식은 그냥 나 자체다.,-1,POST
P01,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,2,POST
P05,HS,,활동적 휴식은 내가 자주 하는 것이다.,0,POST
P05,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,-1,POST
P05,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,0,POST
P05,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-1,POST
P05,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,-1,POST
P05,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,1,POST
P05,HS,,활동적 휴식은 내 일상의 일부이다.,-1,POST
P05,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,-1,POST
P05,HS,,활동적 휴식을 하지 않는 게 힘들다.,-1,POST
P05,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,-1,POST
P05,HS,,활동적 휴식은 그냥 나 자체다.,-2,POST
P05,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,-1,POST
P18,HS,,활동적 휴식은 내가 자주 하는 것이다.,0,POST
P18,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,-2,POST
P18,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,-2,POST
P18,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-3,POST
P18,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,2,POST
P18,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-3,POST
P18,HS,,활동적 휴식은 내 일상의 일부이다.,1,POST
P18,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,2,POST
P18,HS,,활동적 휴식을 하지 않는 게 힘들다.,-3,POST
P18,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,3,POST
P18,HS,,활동적 휴식은 그냥 나 자체다.,-1,POST
P18,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,-1,POST
P02,HS,,활동적 휴식은 내가 자주 하는 것이다.,2,POST
P02,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,2,POST
P02,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,1,POST
P02,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-1,POST
P02,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,-1,POST
P02,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,0,POST
P02,HS,,활동적 휴식은 내 일상의 일부이다.,2,POST
P02,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,-1,POST
P02,HS,,활동적 휴식을 하지 않는 게 힘들다.,-1,POST
P02,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,1,POST
P02,HS,,활동적 휴식은 그냥 나 자체다.,1,POST
P02,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,2,POST
P10,HS,,활동적 휴식은 내가 자주 하는 것이다.,2,POST
P10,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,0,POST
P10,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,-1,POST
P10,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-3,POST
P10,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,2,POST
P10,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,1,POST
P10,HS,,활동적 휴식은 내 일상의 일부이다.,2,POST
P10,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,0,POST
P10,HS,,활동적 휴식을 하지 않는 게 힘들다.,-2,POST
P10,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,2,POST
P10,HS,,활동적 휴식은 그냥 나 자체다.,0,POST
P10,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,2,POST
P04,HS,,활동적 휴식은 내가 자주 하는 것이다.,2,POST
P04,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,0,POST
P04,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,0,POST
P04,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-2,POST
P04,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,-2,POST
P04,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,1,POST
P04,HS,,활동적 휴식은 내 일상의 일부이다.,1,POST
P04,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,-2,POST
P04,HS,,활동적 휴식을 하지 않는 게 힘들다.,-2,POST
P04,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,-2,POST
P04,HS,,활동적 휴식은 그냥 나 자체다.,-2,POST
P04,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,-2,POST
P16,HS,,활동적 휴식은 내가 자주 하는 것이다.,1,POST
P16,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,1,POST
P16,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,1,POST
P16,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-1,POST
P16,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,3,POST
P16,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,1,POST
P16,HS,,활동적 휴식은 내 일상의 일부이다.,1,POST
P16,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,-1,POST
P16,HS,,활동적 휴식을 하지 않는 게 힘들다.,-1,POST
P16,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,1,POST
P16,HS,,활동적 휴식은 그냥 나 자체다.,1,POST
P16,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,1,POST
P06,HS,,활동적 휴식은 내가 자주 하는 것이다.,1,POST
P06,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,-2,POST
P06,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,-3,POST
P06,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,1,POST
P06,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,-3,POST
P06,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,2,POST
P06,HS,,활동적 휴식은 내 일상의 일부이다.,1,POST
P06,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,-3,POST
P06,HS,,활동적 휴식을 하지 않는 게 힘들다.,2,POST
P06,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,-3,POST
P06,HS,,활동적 휴식은 그냥 나 자체다.,-3,POST
P06,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,2,POST
P14,HS,,활동적 휴식은 내가 자주 하는 것이다.,-1,POST
P14,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,-1,POST
P14,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,-1,POST
P14,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-1,POST
P14,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,1,POST
P14,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,1,POST
P14,HS,,활동적 휴식은 내 일상의 일부이다.,0,POST
P14,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,1,POST
P14,HS,,활동적 휴식을 하지 않는 게 힘들다.,1,POST
P14,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,1,POST
P14,HS,,활동적 휴식은 그냥 나 자체다.,0,POST
P14,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,1,POST
P09,HS,,활동적 휴식은 내가 자주 하는 것이다.,2,POST
P09,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,1,POST
P09,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,1,POST
P09,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-1,POST
P09,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,1,POST
P09,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,0,POST
P09,HS,,활동적 휴식은 내 일상의 일부이다.,1,POST
P09,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,-1,POST
P09,HS,,활동적 휴식을 하지 않는 게 힘들다.,1,POST
P09,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,1,POST
P09,HS,,활동적 휴식은 그냥 나 자체다.,0,POST
P09,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,1,POST
P07,HS,,활동적 휴식은 내가 자주 하는 것이다.,1,POST
P07,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,-1,POST
P07,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,-1,POST
P07,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,1,POST
P07,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,-1,POST
P07,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-1,POST
P07,HS,,활동적 휴식은 내 일상의 일부이다.,1,POST
P07,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,-2,POST
P07,HS,,활동적 휴식을 하지 않는 게 힘들다.,0,POST
P07,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,-1,POST
P07,HS,,활동적 휴식은 그냥 나 자체다.,-1,POST
P07,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,0,POST
P19,HS,,활동적 휴식은 내가 자주 하는 것이다.,1,POST
P19,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,1,POST
P19,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,1,POST
P19,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,1,POST
P19,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,1,POST
P19,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,1,POST
P19,HS,,활동적 휴식은 내 일상의 일부이다.,2,POST
P19,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,0,POST
P19,HS,,활동적 휴식을 하지 않는 게 힘들다.,-1,POST
P19,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,1,POST
P19,HS,,활동적 휴식은 그냥 나 자체다.,0,POST
P19,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,1,POST
P13,HS,,활동적 휴식은 내가 자주 하는 것이다.,-1,POST
P13,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,1,POST
P13,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,2,POST
P13,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-1,POST
P13,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,1,POST
P13,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-2,POST
P13,HS,,활동적 휴식은 내 일상의 일부이다.,-2,POST
P13,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,2,POST
P13,HS,,활동적 휴식을 하지 않는 게 힘들다.,-1,POST
P13,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,1,POST
P13,HS,,활동적 휴식은 그냥 나 자체다.,-2,POST
P13,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,2,POST
P03,HS,,활동적 휴식은 내가 자주 하는 것이다.,1,POST
P03,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,0,POST
P03,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,1,POST
P03,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-2,POST
P03,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,-1,POST
P03,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-1,POST
P03,HS,,활동적 휴식은 내 일상의 일부이다.,-2,POST
P03,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,0,POST
P03,HS,,활동적 휴식을 하지 않는 게 힘들다.,-1,POST
P03,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,1,POST
P03,HS,,활동적 휴식은 그냥 나 자체다.,-2,POST
P03,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,-2,POST
P08,HS,,활동적 휴식은 내가 자주 하는 것이다.,0,POST
P08,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,-3,POST
P08,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,-3,POST
P08,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-3,POST
P08,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,0,POST
P08,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-3,POST
P08,HS,,활동적 휴식은 내 일상의 일부이다.,-1,POST
P08,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,1,POST
P08,HS,,활동적 휴식을 하지 않는 게 힘들다.,-2,POST
P08,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,-1,POST
P08,HS,,활동적 휴식은 그냥 나 자체다.,-2,POST
P08,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,0,POST
P12,HS,,활동적 휴식은 내가 자주 하는 것이다.,-1,POST
P12,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,-1,POST
P12,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,-2,POST
P12,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-1,POST
P12,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,-2,POST
P12,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-2,POST
P12,HS,,활동적 휴식은 내 일상의 일부이다.,0,POST
P12,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,-1,POST
P12,HS,,활동적 휴식을 하지 않는 게 힘들다.,-2,POST
P12,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,1,POST
P12,HS,,활동적 휴식은 그냥 나 자체다.,-2,POST
P12,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,-1,POST
P15,HS,,활동적 휴식은 내가 자주 하는 것이다.,1,POST
P15,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,1,POST
P15,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,1,POST
P15,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,0,POST
P15,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,1,POST
P15,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-1,POST
P15,HS,,활동적 휴식은 내 일상의 일부이다.,1,POST
P15,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,0,POST
P15,HS,,활동적 휴식을 하지 않는 게 힘들다.,-1,POST
P15,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,1,POST
P15,HS,,활동적 휴식은 그냥 나 자체다.,0,POST
P15,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,1,POST
P20,HS,,활동적 휴식은 내가 자주 하는 것이다.,3,POST
P20,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,3,POST
P20,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,2,POST
P20,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,3,POST
P20,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,3,POST
P20,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-2,POST
P20,HS,,활동적 휴식은 내 일상의 일부이다.,3,POST
P20,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,2,POST
P20,HS,,활동적 휴식을 하지 않는 게 힘들다.,-2,POST
P20,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,2,POST
P20,HS,,활동적 휴식은 그냥 나 자체다.,2,POST
P20,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,2,POST
P17,HS,,활동적 휴식은 내가 자주 하는 것이다.,2,POST
P17,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,0,POST
P17,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,0,POST
P17,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,1,POST
P17,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,-1,POST
P17,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-1,POST
P17,HS,,활동적 휴식은 내 일상의 일부이다.,2,POST
P17,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,1,POST
P17,HS,,활동적 휴식을 하지 않는 게 힘들다.,0,POST
P17,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,0,POST
P17,HS,,활동적 휴식은 그냥 나 자체다.,1,POST
P17,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,0,POST
P21,HS,,활동적 휴식은 내가 자주 하는 것이다.,-1,POST
P21,HS,,활동적 휴식은 내가 자동적으로 하는 것이다.,-1,POST
P21,HS,,활동적 휴식은 내가 의식하지 않아도 하는 것이다.,-1,POST
P21,HS,,활동적 휴식을 하지 않으면 이상한 기분이 든다.,-1,POST
P21,HS,,활동적 휴식은 굳이 하려고 생각하지 않아도 하는 것이다.,-1,POST
P21,HS,,활동적 휴식을 하지 않으려고 하면 노력이 필요하다.,-1,POST
P21,HS,,활동적 휴식은 내 일상의 일부이다.,0,POST
P21,HS,,활동적 휴식을 이미 하고 난 후에 하고 있다는 걸 깨닫는다.,1,POST
P21,HS,,활동적 휴식을 하지 않는 게 힘들다.,0,POST
P21,HS,,활동적 휴식을 하는 데 있어 생각이 필요하지 않다.,0,POST
P21,HS,,활동적 휴식은 그냥 나 자체다.,-2,POST
P21,HS,,활동적 휴식은 내가 오랫동안 해 오던 것이다.,-2,POST
